都道府県コード,都道府県名,読み仮名,地方区分,営業エリア区分
1,北海道,ほっかいどう,北海道,北日本
2,青森県,あおもりけん,東北,東北
3,岩手県,いわてけん,東北,東北
4,宮城県,みやぎけん,東北,東北
5,秋田県,あきたけん,東北,東北
6,山形県,やまがたけん,東北,東北
7,福島県,ふくしまけん,東北,東北
8,茨城県,いばらきけん,関東,関東
9,栃木県,とちぎけん,関東,関東
10,群馬県,ぐんまけん,関東,関東
11,埼玉県,さいたまけん,関東,関東
12,千葉県,ちばけん,関東,関東
13,東京都,とうきょうと,関東,関東
14,神奈川県,かながわけん,関東,関東
15,新潟県,にいがたけん,中部,中部
16,富山県,とやまけん,中部,中部
17,石川県,いしかわけん,中部,中部
18,福井県,ふくいけん,中部,中部
19,山梨県,やまなしけん,中部,中部
20,長野県,ながのけん,中部,中部
21,岐阜県,ぎふけん,中部,中部
22,静岡県,しずおかけん,中部,中部
23,愛知県,あいちけん,中部,中部
24,三重県,みえけん,近畿,近畿
25,滋賀県,しがけん,近畿,近畿
26,京都府,きょうとふ,近畿,近畿
27,大阪府,おおさかふ,近畿,近畿
28,兵庫県,ひょうごけん,近畿,近畿
29,奈良県,ならけん,近畿,近畿
30,和歌山県,わかやまけん,近畿,近畿
31,鳥取県,とっとりけん,中国,中国・四国
32,島根県,しまねけん,中国,中国・四国
33,岡山県,おかやまけん,中国,中国・四国
34,広島県,ひろしまけん,中国,中国・四国
35,山口県,やまぐちけん,中国,中国・四国
36,徳島県,とくしまけん,四国,中国・四国
37,香川県,かがわけん,四国,中国・四国
38,愛媛県,えひめけん,四国,中国・四国
39,高知県,こうちけん,四国,中国・四国
40,福岡県,ふくおかけん,九州・沖縄,九州・沖縄
41,佐賀県,さがけん,九州・沖縄,九州・沖縄
42,長崎県,ながさきけん,九州・沖縄,九州・沖縄
43,熊本県,くまもとけん,九州・沖縄,九州・沖縄
44,大分県,おおいたけん,九州・沖縄,九州・沖縄
45,宮崎県,みやざきけん,九州・沖縄,九州・沖縄
46,鹿児島県,かごしまけん,九州・沖縄,九州・沖縄
47,沖縄県,おきなわけん,九州・沖縄,九州・沖縄
